stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,radius
8590741,"Opfikon, Austrasse",47.425037,8.57521,"","",5.844877493853831
8590725,"Oberengstringen, Eggbühl",47.405525,8.474087,"","",5.839449394123291
8590795,"Schlieren, Mülligen",47.395645,8.467286,"","",5.829974168257833
8575014,"Uitikon Waldegg, Bahnhof",47.366222,8.465032,"","",5.821827501865254
8594190,"Wallisellen, Guggenbühlstrasse",47.41364,8.59695,"","",5.819027940452187
8590567,"Dübendorf, Högler",47.39178,8.6147175,"","",5.816007330145574
8573731,"Stallikon, Diebis",47.349396,8.475892,"","",5.812479981230358
8594252,"Kilchberg ZH, Breitloo",47.32619,8.539439,"","",5.787341266299365
8591320,"Zürich, Riedhofstrasse",47.409927,8.479575,"","",5.7766832130809265
8590895,"Wallisellen, Rosenberg",47.41235,8.5978565,"","",5.773911672978305
8591224,"Zürich, Käshaldenstrasse",47.43002,8.540903,"","",5.771066808590184
8574780,"Ringlikon, Dorf",47.358368,8.469505,"","",5.768916532500688
8590682,"Kilchberg ZH, Mythenstrasse",47.32636,8.540669,"","",5.76846675067247
8594187,"Wallisellen, Friedhof",47.415264,8.593653,"","",5.767054064317392
8503055,Uitikon Waldegg,47.365925,8.46592,"","",5.764378671702346
8503055:0:1,Uitikon Waldegg,47.365925,8.46592,"",Parent8503055,5.764378671702346
8503055:0:641,Uitikon Waldegg,47.365925,8.46592,"",Parent8503055,5.764378671702346
Parent8503055,Uitikon Waldegg,47.365925,8.46592,1,"",5.764378671702346
8590561,"Dübendorf, Am Ring",47.40215,8.607657,"","",5.740681308086512
8590886,"Wallisellen, Gemeindehaus",47.41637,8.591021,"","",5.721232585029274
8591090,"Zürich, Blumenfeldstrasse",47.42378,8.505259,"","",5.718647539475618
8590621,"Glattbrugg, Frohbühlstrasse",47.428093,8.557361,"","",5.704630540898653
8576241,"Zürich, Heizenholz",47.412296,8.483905,"","",5.694518148316412
8590685,"Kilchberg ZH, Sanatorium",47.32711,8.544452,"","",5.693694213576516
8590884,"Wallisellen, Florastrasse",47.4117,8.597273,"","",5.693342261450473
8590632,"Opfikon, Zil",47.422733,8.576862,"","",5.676722542548326
8591234,"Zürich, Köschenrüti",47.429043,8.537112,"","",5.666938249564015
8590578,"Wallisellen, Neugut",47.40483,8.60427,"","",5.666263965542256
8591270,"Zürich, Marbachweg",47.33035,8.515373,"","",5.644091020775854
8590592,"Dübendorf, Wasserfurren",47.393982,8.611241,"","",5.634981979496224
8591248,"Zürich, Leimgrübelstrasse",47.428646,8.54367,"","",5.623998104459067
8590582,"Dübendorf, Ringstrasse",47.40015,8.607271,"","",5.614565729001077
8591023,"Zollikerb., Langägerten/Spital",47.346516,8.597919,"","",5.59962687678136
8576263,"Zürich, Hungerbergstrasse",47.421093,8.50153,"","",5.596119308521673
8591407,"Zürich, Unteraffoltern",47.424587,8.511843,"","",5.590883133542688
8591029,"Zollikerberg, Trichtenhauserm.",47.35062,8.601953,"","",5.575032097134827
8594198,"Wallisellen, Glatt (Tram)",47.409294,8.598063,"","",5.568022863343219
8576205,"Zollikon, Goldhaldenplatz",47.335037,8.577518,"","",5.565667996471623
8590899,"Wallisellen, Zentrum",47.41418,8.590868,"","",5.534625024103288
8590684,"Kilchberg ZH, Paradiesstrasse",47.328728,8.547218,"","",5.529962137718122
8591215,"Zürich, Juchhof",47.39831,8.473179,"","",5.526757645540653
8588745,"Wallisellen, Steinacker",47.418808,8.581947,"","",5.50865934364869
8590626,"Glattpark, Lindberghplatz",47.425602,8.56107,"","",5.508061665091581
8587655,"Wallisellen, Bahnhof",47.412724,8.592539,"","",5.507779033583556
8591085,"Zürich, Birch-/Glatttalstrasse",47.427402,8.546141,"","",5.497704973881365
8588744,"Wallisellen, Kaserne",47.416855,8.585531,"","",5.495248717236144
8591044,"Zürich, Am Suteracher",47.39094,8.469784,"","",5.4950319833298105
8590552,"Dübendorf, Breitibach",47.395966,8.608133,"","",5.488589861277114
8503077,Spital Zollikerberg,47.34731,8.596796,"","",5.478205467532589
Parent8503129,Wallisellen,47.412724,8.591928,1,"",5.4748956075198505
8503129:0,Wallisellen,47.412724,8.591928,"",Parent8503129,5.4748956075198505
8503129:0:3,Wallisellen,47.412724,8.591928,"",Parent8503129,5.4748956075198505
8503129P,Wallisellen,47.412724,8.591928,1,"",5.4748956075198505
8503129:0:4,Wallisellen,47.412724,8.591928,"",Parent8503129,5.4748956075198505
8590672,"Kilchberg ZH, Bächlerstrasse",47.329033,8.5396,"","",5.470884671042603
8591158,"Zürich, Giblenstrasse",47.41073,8.485953,"","",5.463213206262358
8591130,"Zürich, Feusisbergli",47.39267,8.470987,"","",5.461073371650213
8594253,"Kilchberg ZH, Emilienheim",47.32921,8.538145,"","",5.453384919076488
8591116,"Zürich, Dunkelhölzli",47.388885,8.470053,"","",5.4206716299046835
8590879,"Waldburg, Station",47.34539,8.593302,"","",5.417202026799359
8587651:0,"Wallisellen, Glatt (Bus)",47.40921,8.595548,"",Parent8587651,5.4149099375819345
8587651:0:A,"Wallisellen, Glatt (Bus)",47.40921,8.595548,"",Parent8587651,5.4149099375819345
8587651:0:B,"Wallisellen, Glatt (Bus)",47.40921,8.595548,"",Parent8587651,5.4149099375819345
8587651:0:C,"Wallisellen, Glatt (Bus)",47.40921,8.595548,"",Parent8587651,5.4149099375819345
8587651P,Glatt (Bus),47.40921,8.595548,1,"",5.4149099375819345
Parent8587651,Glatt (Bus),47.40921,8.595548,1,"",5.4149099375819345
8590634,"Glattpark, Lindbergh-Allee",47.424313,8.5626335,"","",5.406297256386766
8590683,"Kilchberg ZH, Paradiessteig",47.32969,8.543149,"","",5.402194407849345
8503078,Waldburg,47.34547,8.593023,"","",5.395680591792422
8591054,"Zürich Affoltern, Bahnhof",47.421185,8.507414,"","",5.387586977114663
8591153,"Zürich, Fronwald",47.421963,8.510046,"","",5.37792114976659
8590579,"Dübendorf, Neugut Süd",47.402843,8.60136,"","",5.364191343284912
8591903,"Zollikerberg, Spital",47.34835,8.596042,"","",5.361436715771035
8591124,"Zürich, Ettenfeld",47.42546,8.553633,"","",5.359639331444137
8591136,"Zürich, Frankental",47.405468,8.481632,"","",5.358796155685851
8591342,"Zürich, Schönauring",47.426132,8.536348,"","",5.346054330151989
8591024,"Zollikerberg, Hasenbart",47.350113,8.597731,"","",5.344947219051116
8576204,"Zollikon, Beugi",47.33648,8.575084,"","",5.334905624665743
8591400,"Zürich, Trichtisal",47.353912,8.601072,"","",5.32466726152295
8503008:0:2,Zürich Affoltern,47.42091,8.508582,"",Parent8503008,5.320431739648961
Parent8503008,Zürich Affoltern,47.42091,8.508582,1,"",5.320431739648961
8503008:0,Zürich Affoltern,47.42091,8.508582,"",Parent8503008,5.320431739648961
8503008:0:1,Zürich Affoltern,47.42091,8.508582,"",Parent8503008,5.320431739648961
8503008P,Zürich Affoltern,47.42091,8.508582,1,"",5.320431739648961
8594261,"Dübendorf, Hochbord Nord",47.40139,8.601854,"","",5.315767339660405
8596008,"Zürich, Hermetschloo",47.394146,8.473889,"","",5.30522009452347
8591350,"Zürich, Schwandenholz",47.42386,8.520682,"","",5.293664194855239
8590583,"Dübendorf, Ringwiesen",47.397533,8.604217,"","",5.283041257651176
8576186,"Zollikon, Höhestrasse",47.33985,8.581525,"","",5.282713004012789
Parent8503094,Zürich Leimbach,47.333046,8.518562,1,"",5.282588141709539
8503094:0:2,Zürich Leimbach,47.333046,8.518562,"",Parent8503094,5.282588141709539
8503094,Zürich Leimbach,47.333046,8.518562,"",Parent8503094,5.282588141709539
8503094:0:1,Zürich Leimbach,47.333046,8.518562,"",Parent8503094,5.282588141709539
8591260,"Zürich, Loogarten",47.389427,8.472326,"","",5.267621585992341
8591333,"Zürich, Salzweg",47.387707,8.471769,"","",5.2666000250645695
8591228,"Zürich, Kienastenwies",47.355152,8.601162,"","",5.26185660597789
8591061,"Zürich Leimbach, Bahnhof",47.333252,8.518598,"","",5.259958737099201
8591418,"Zürich, Waidhof",47.423862,8.523045,"","",5.247386598512547
8590627,"Glattbrugg, Mode Center TMC",47.423443,8.559022,"","",5.234277122170699
8590881,"Wallisellen, Belair",47.41395,8.585235,"","",5.231452076731275
8576262,"Zürich, Zehntenhausplatz",47.41922,8.506462,"","",5.228752843796265
8591274,"Zürich, Micafil",47.393036,8.474518,"","",5.220207360664461
8591048,"Zürich, Ausserdorfstrasse",47.424515,8.548557,"","",5.196258731199256
8594254,"Kilchberg ZH, Obere Hornhalde",47.331566,8.538118,"","",5.1911301552231555
8590889,"Wallisellen, Herti",47.416496,8.579073,"","",5.173866137899503
8576189,"Zollikon, Rebwiesstrasse",47.345715,8.589125,"","",5.163464088048114
8590633,"Glattpark, Chavez-Allee",47.42234,8.560828,"","",5.155611928141794
8590588,"Dübendorf, Sonnental",47.395435,8.60366,"","",5.153288215849977
8591399,"Zürich, Trichtenhausenfussweg",47.3542,8.598602,"","",5.148448882153334
8590692,"Kilchberg ZH, Weinbergstrasse",47.331985,8.543283,"","",5.1472322724646125
8503056:0:2,Ringlikon,47.360294,8.477428,"",Parent8503056,5.134968006585592
Parent8503056,Ringlikon,47.360294,8.477428,1,"",5.134968006585592
